,Numerical,,Extra Notes
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image294.jpg,8,4,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image89.jpg,7,3,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image1145.jpg,2,2,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image1151.jpg,7,5,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image280.jpg,5,2,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image1637.jpg,9,6,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image1179.jpg,2,6,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image531.jpg,5,2,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image1838.jpg,2,1,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image1186.jpg,9,2,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image257.jpg,6,5,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image243.jpg,8,4,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image1192.jpg,5,3,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image525.jpg,2,2,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image1804.jpg,9,4,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image76.jpg,8,3,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image62.jpg,8,3,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image519.jpg,7,3,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image1810.jpg,6,3,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image1347.jpg,3,2,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image928.jpg,8,2,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image1421.jpg,8,7,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image1435.jpg,5,4,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image1353.jpg,5,3,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image914.jpg,9,3,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image900.jpg,3,2,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image1409.jpg,8,2,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image1384.jpg,6,3,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image733.jpg,5,8,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image727.jpg,3,1,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image1390.jpg,7,7,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image1233.jpg,8,2,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image684.jpg,9,1,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image1555.jpg,7,2,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image1541.jpg,7,3,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image848.jpg,8,2,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image690.jpg,1,1,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image1227.jpg,3,4,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image1569.jpg,3,4,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image860.jpg,3,5,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image874.jpg,1,2,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image121.jpg,1,1,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image1596.jpg,2,4,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image647.jpg,1,1,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image653.jpg,5,6,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image1582.jpg,3,2,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image135.jpg,1,1,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image109.jpg,1,3,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image1757.jpg,2,3,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image486.jpg,1,1,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image1031.jpg,2,1,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image1025.jpg,3,4,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image492.jpg,1,1,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image1743.jpg,1,1,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image1019.jpg,3,4,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image445.jpg,1,1,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image1794.jpg,1,1,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image323.jpg,7,7,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image337.jpg,2,4,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image1780.jpg,2,5,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image451.jpg,1,1,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image479.jpg,4,5,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image309.jpg,2,1,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image321.jpg,7,8,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image1796.jpg,1,1,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image447.jpg,1,1,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image453.jpg,5,2,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image1782.jpg,1,1,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image335.jpg,7,5,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image1769.jpg,1,2,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image1033.jpg,5,3,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image484.jpg,1,4,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image1755.jpg,6,5,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image1741.jpg,5,2,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image490.jpg,1,3,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image1027.jpg,1,2,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image679.jpg,2,1,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image645.jpg,3,2,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image1594.jpg,1,1,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image123.jpg,3,2,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image137.jpg,2,5,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image1580.jpg,3,2,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image889.jpg,1,1,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image651.jpg,4,5,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image862.jpg,1,4,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image1219.jpg,2,1,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image876.jpg,2,4,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image1557.jpg,1,4,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image686.jpg,1,1,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image1231.jpg,6,8,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image1225.jpg,4,3,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image692.jpg,2,4,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image1543.jpg,6,4,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image719.jpg,6,5,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image731.jpg,5,7,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image1386.jpg,1,1,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image1392.jpg,3,5,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image725.jpg,1,1,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image916.jpg,2,1,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image1379.jpg,6,7,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image902.jpg,4,6,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image1423.jpg,1,1,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image1345.jpg,3,5,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image1351.jpg,2,5,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image1437.jpg,5,2,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image74.jpg,1,3,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image269.jpg,3,5,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image1806.jpg,6,5,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image1812.jpg,7,8,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image60.jpg,1,3,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image48.jpg,1,1,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image255.jpg,1,1,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image1184.jpg,2,2,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image533.jpg,6,5,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image527.jpg,7,8,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image1190.jpg,3,4,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image241.jpg,3,2,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image1609.jpg,1,1,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image1147.jpg,3,1,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image296.jpg,2,2,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image1621.jpg,1,1,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image1635.jpg,2,1,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image282.jpg,3,5,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image1153.jpg,1,1,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image1634.jpg,3,4,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image1152.jpg,1,1,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image283.jpg,1,1,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image297.jpg,4,6,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image1146.jpg,5,6,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image1620.jpg,1,2,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image1608.jpg,2,5,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image526.jpg,1,3,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image240.jpg,1,1,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image1191.jpg,3,4,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image1185.jpg,4,3,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image254.jpg,1,2,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image49.jpg,1,1,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image532.jpg,1,5,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image1813.jpg,1,1,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image61.jpg,2,1,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image268.jpg,10,7,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image75.jpg,1,3,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image1807.jpg,1,1,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image1350.jpg,1,1,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image1436.jpg,1,1,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image1422.jpg,1,1,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image1344.jpg,1,1,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image903.jpg,2,2,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image917.jpg,1,2,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image1378.jpg,1,1,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image1393.jpg,1,1,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image724.jpg,5,1,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image730.jpg,1,2,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image1387.jpg,1,2,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image718.jpg,1,1,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image1224.jpg,1,1,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image1542.jpg,1,3,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image693.jpg,3,3,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image687.jpg,1,1,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image1556.jpg,1,1,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image1230.jpg,3,4,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image1218.jpg,8,4,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image877.jpg,1,2,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image863.jpg,1,1,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image136.jpg,1,1,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image650.jpg,1,1,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image888.jpg,1,1,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image1581.jpg,1,1,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image1595.jpg,2,1,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image644.jpg,1,1,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image122.jpg,1,1,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image678.jpg,1,6,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image491.jpg,1,1,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image1740.jpg,1,5,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image1026.jpg,1,1,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image1032.jpg,1,1,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image1754.jpg,1,2,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image485.jpg,1,1,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image1768.jpg,1,1,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image1783.jpg,1,3,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image452.jpg,1,2,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image334.jpg,1,1,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image320.jpg,2,2,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image446.jpg,1,1,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image1797.jpg,1,1,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image308.jpg,1,5,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image1793.jpg,1,1,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image442.jpg,1,1,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image324.jpg,1,1,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image330.jpg,1,1,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image456.jpg,1,1,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image1787.jpg,1,1,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image318.jpg,1,1,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image481.jpg,1,3,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image1750.jpg,1,1,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image1036.jpg,1,1,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image1022.jpg,1,1,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image1744.jpg,1,1,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image495.jpg,2,1,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image1778.jpg,2,1,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image126.jpg,1,1,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image898.jpg,1,1,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image640.jpg,3,3,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image1591.jpg,1,1,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image1585.jpg,1,1,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image654.jpg,1,1,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image132.jpg,1,1,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image668.jpg,1,1,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image8.jpg,1,1,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image1234.jpg,1,1,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image1552.jpg,1,1,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image683.jpg,1,1,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image697.jpg,1,1,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image1546.jpg,1,1,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image1220.jpg,1,1,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image1208.jpg,1,1,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image867.jpg,1,3,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image873.jpg,1,1,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image1383.jpg,1,1,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image734.jpg,1,1,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image720.jpg,1,1,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image1397.jpg,1,3,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image708.jpg,1,2,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image1340.jpg,1,2,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image1426.jpg,8,2,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image1432.jpg,1,1,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image1354.jpg,1,1,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image913.jpg,1,1,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image907.jpg,1,1,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image1368.jpg,10,6,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image536.jpg,1,1,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image250.jpg,4,6,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image1181.jpg,1,1,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image1195.jpg,1,3,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image244.jpg,1,1,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image59.jpg,1,1,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image522.jpg,1,2,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image1803.jpg,1,1,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image71.jpg,1,1,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image278.jpg,2,2,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image65.jpg,3,2,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image1817.jpg,1,1,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image1624.jpg,1,9,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image1142.jpg,1,2,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image293.jpg,6,8,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image287.jpg,3,2,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image1156.jpg,3,10,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image1630.jpg,10,3,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image1618.jpg,7,2,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image1619.jpg,1,1,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image1157.jpg,1,1,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image286.jpg,3,1,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image1631.jpg,4,4,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image1625.jpg,8,10,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image292.jpg,3,4,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image1143.jpg,6,5,
